table,column,null_count,distinct_count
user_referrals,referral_at,0,44
user_referrals,referral_id,0,46
user_referrals,referee_id,3,37
user_referrals,referee_name,3,35
user_referrals,referee_phone,0,33
user_referrals,referral_reward_id,38,3
user_referrals,referral_source,0,3
user_referrals,referrer_id,13,13
user_referrals,transaction_id,13,27
user_referrals,updated_at,0,40
user_referrals,user_referral_status_id,0,3
user_referral_logs,id,0,96
user_referral_logs,user_referral_id,0,78
user_referral_logs,source_transaction_id,79,17
user_referral_logs,created_at,0,96
user_referral_logs,is_reward_granted,0,2
user_logs,id,0,29
user_logs,user_id,0,9
user_logs,name,0,7
user_logs,phone_number,0,9
user_logs,homeclub,0,6
user_logs,timezone_homeclub,0,2
user_logs,membership_expired_date,0,9
user_logs,is_deleted,0,2
user_referral_statuses,id,0,3
user_referral_statuses,description,0,3
user_referral_statuses,created_at,0,2
referral_rewards,id,0,3
referral_rewards,reward_value,0,3
referral_rewards,created_at,0,3
referral_rewards,reward_type,0,1
paid_transactions,transaction_id,0,14
paid_transactions,transaction_status,0,1
paid_transactions,transaction_at,0,14
paid_transactions,transaction_location,0,6
paid_transactions,timezone_transaction,0,2
paid_transactions,transaction_type,0,2
lead_logs,id,0,8
lead_logs,lead_id,0,5
lead_logs,source_category,0,2
lead_logs,created_at,0,5
lead_logs,preferred_location,0,3
lead_logs,timezone_location,0,1
lead_logs,current_status,0,5
